site_id,site_name,address,full_address_query,matched,matched_address,match_type,lat,lon,tiger_line_id
001_826-valencia-main,826 Valencia - Main,826 Valencia Street,"826 Valencia Street, San Francisco, CA",True,"826 VALENCIA ST, SAN FRANCISCO, CA, 94110",,37.759689004201,-122.4214570794,192284297
002_826-valencia-mission-bay,826 Valencia - Mission Bay,1310 4th Street,"1310 4th Street, San Francisco, CA",True,"1310 4TH ST, SAN FRANCISCO, CA, 94158",,37.771764933736,-122.391347641226,639644701
003_826-valencia-tenderloin,826 Valencia - Tenderloin,180 Golden Gate Avenue,"180 Golden Gate Avenue, San Francisco, CA",True,"180 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",,37.781968232897,-122.413483855923,192287311
004_bayview-ymca,Bayview YMCA,1601 Lane Street,"1601 Lane Street, San Francisco, CA",True,"1601 LANE ST, SAN FRANCISCO, CA, 94124",,37.732208113041,-122.389584090696,192290990
005_bernal-heights-library,Bernal Heights Library,500 Cortland Avenue,"500 Cortland Avenue, San Francisco, CA",True,"500 CORTLAND AVE, SAN FRANCISCO, CA, 94110",,37.739000938111,-122.416457145151,192288662
006_betty-an-ong-recreation-center,Betty An Ong Recreation Center,1199 Mason Street,"1199 Mason Street, San Francisco, CA",True,"1199 MASON ST, SAN FRANCISCO, CA, 94129",,37.804492774564,-122.451653492311,641615749
007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,Boys and Girls Clubs of SF - Excelsior Clubhouse,163 London Street,"163 London Street, San Francisco, CA",True,"163 LONDON ST, SAN FRANCISCO, CA, 94112",,37.72638367452,-122.432382713982,192286808
008_buena-vista-child-care,Buena Vista Child Care,1249 Alabama Street,"1249 Alabama Street, San Francisco, CA",True,"1249 ALABAMA ST, SAN FRANCISCO, CA, 94110",,37.751904984721,-122.410814980464,192288482
009_community-youth-center-chinatown,Community Youth Center - Chinatown,830 Sacramento,"830 Sacramento, San Francisco, CA",True,"830 SACRAMENTO ST, SAN FRANCISCO, CA, 94108",,37.793354340498,-122.406809431299,192281221
010_community-youth-center-richmond,Community Youth Center - Richmond,980 Clement Street,"980 Clement Street, San Francisco, CA",True,"980 CLEMENT ST, SAN FRANCISCO, CA, 94118",,37.782773470768,-122.469530454484,192281786
011_community-youth-center-tenderloin,Community Youth Center - Tenderloin,1038 Post Street,"1038 Post Street, San Francisco, CA",True,"1038 POST ST, SAN FRANCISCO, CA, 94109",,37.787009372125,-122.41893980772,192280679
012_faces-sf,FACES SF,100 Whitney Young Circle,"100 Whitney Young Circle, San Francisco, CA",True,"100 WHITNEY YOUNG CIR, SAN FRANCISCO, CA, 94124",,37.733834212138,-122.384640029279,192291072
013_gilman-playground,Gilman Playground,903 Gilman Avenue,"903 Gilman Avenue, San Francisco, CA",True,"903 GILMAN AVE, SAN FRANCISCO, CA, 94124",,37.717510347264,-122.386976217416,192291193
014_hamilton-recreation-center,Hamilton Recreation Center,1900 Geary Boulevard,"1900 Geary Boulevard, San Francisco, CA",True,"1900 GEARY BLVD, SAN FRANCISCO, CA, 94115",,37.784231055501,-122.434595838362,192293907
015_ingleside-library,Ingleside Library,1298 Ocean Avenue,"1298 Ocean Avenue, San Francisco, CA",True,"1298 OCEAN AVE, SAN FRANCISCO, CA, 94112",,37.724038495591,-122.456417292402,192285818
016_joseph-lee-recreation-center,Joseph Lee Recreation Center,1395 Mendell Street,"1395 Mendell Street, San Francisco, CA",True,"1395 MENDELL ST, SAN FRANCISCO, CA, 94124",,37.735247243101,-122.389661445771,192289929
017_main-library,Main Library,100 Larkin Street,"100 Larkin Street, San Francisco, CA",True,"100 LARKIN ST, SAN FRANCISCO, CA, 94102",,37.778721736617,-122.416518249896,192298611
018_minnie-and-lovie-ward-recreation-center,Minnie and Lovie Ward Recreation Center,650 Capitol Avenue,"650 Capitol Avenue, San Francisco, CA",True,"650 CAPITOL AVE, SAN FRANCISCO, CA, 94112",,37.716186009067,-122.4589859382,192285658
