tract_geoid,state_fips,county_fips,tract_fips,tract_name,centroid_lat,centroid_lon
06075010101,06,075,010101,Census Tract 101.01,37.80870551,-122.41071869
06075010102,06,075,010102,Census Tract 101.02,37.80468998,-122.41394375
06075010201,06,075,010201,Census Tract 102.01,37.8013029,-122.42121473
06075010202,06,075,010202,Census Tract 102.02,37.80741074,-122.42260684
06075010300,06,075,010300,Census Tract 103,37.80161995,-122.41568103
06075010401,06,075,010401,Census Tract 104.01,37.80277958,-122.41068804
06075010402,06,075,010402,Census Tract 104.02,37.80189977,-122.40525754
06075010500,06,075,010500,Census Tract 105,37.79975076,-122.39713908
06075010600,06,075,010600,Census Tract 106,37.79937839,-122.40638789
06075010701,06,075,010701,Census Tract 107.01,37.79749891,-122.40925683
06075010702,06,075,010702,Census Tract 107.02,37.7996811,-122.41095469
06075010800,06,075,010800,Census Tract 108,37.79649836,-122.41429134
06075010901,06,075,010901,Census Tract 109.01,37.79827261,-122.41886073
06075010902,06,075,010902,Census Tract 109.02,37.7978102,-122.42219473
06075011001,06,075,011001,Census Tract 110.01,37.79346778,-122.41963212
06075011002,06,075,011002,Census Tract 110.02,37.79526175,-122.41995917
06075011101,06,075,011101,Census Tract 111.01,37.7916822,-122.41926563
06075011102,06,075,011102,Census Tract 111.02,37.78983649,-122.4189044
06075011200,06,075,011200,Census Tract 112,37.79297128,-122.41273328
06075011300,06,075,011300,Census Tract 113,37.79469714,-122.40934924
06075011700,06,075,011700,Census Tract 117,37.79049749,-122.40347496
06075011800,06,075,011800,Census Tract 118,37.79335057,-122.4061645
06075011901,06,075,011901,Census Tract 119.01,37.79047284,-122.41391421
06075011902,06,075,011902,Census Tract 119.02,37.79099593,-122.40980668
06075012001,06,075,012001,Census Tract 120.01,37.78842881,-122.41862882
06075012002,06,075,012002,Census Tract 120.02,37.78749566,-122.41842486
06075012100,06,075,012100,Census Tract 121,37.78880659,-122.41188807
06075012202,06,075,012202,Census Tract 122.02,37.78542701,-122.41968033
06075012203,06,075,012203,Census Tract 122.03,37.78574119,-122.41717434
06075012204,06,075,012204,Census Tract 122.04,37.78595151,-122.41553407
06075012301,06,075,012301,Census Tract 123.01,37.7859203,-122.41074597
06075012302,06,075,012302,Census Tract 123.02,37.78702222,-122.41209702
06075012403,06,075,012403,Census Tract 124.03,37.78294584,-122.41660935
06075012404,06,075,012404,Census Tract 124.04,37.78315624,-122.41496846
06075012405,06,075,012405,Census Tract 124.05,37.77951947,-122.41746205
06075012406,06,075,012406,Census Tract 124.06,37.78309405,-122.4192115
06075012502,06,075,012502,Census Tract 125.02,37.78393299,-122.41259544
06075012503,06,075,012503,Census Tract 125.03,37.78346569,-122.41050861
06075012504,06,075,012504,Census Tract 125.04,37.7811411,-122.41295447
06075012601,06,075,012601,Census Tract 126.01,37.80226827,-122.43915086
06075012602,06,075,012602,Census Tract 126.02,37.80734963,-122.433108
06075012700,06,075,012700,Census Tract 127,37.80475908,-122.44477254
06075012801,06,075,012801,Census Tract 128.01,37.79744281,-122.44389578
06075012802,06,075,012802,Census Tract 128.02,37.79835828,-122.4385354
06075012901,06,075,012901,Census Tract 129.01,37.80195969,-122.42724901
06075012902,06,075,012902,Census Tract 129.02,37.8006183,-122.43211048
06075013001,06,075,013001,Census Tract 130.01,37.79766268,-122.42722771
06075013002,06,075,013002,Census Tract 130.02,37.79683229,-122.43375464
