acs_year,state_fips,county_fips,tract_fips,tract_geoid,tract_name,male_under18,female_under18,child_pop_u18
2024,06,075,010101,06075010101,Census Tract 101.01; San Francisco County; California,23,22,45
2024,06,075,010102,06075010102,Census Tract 101.02; San Francisco County; California,110,193,303
2024,06,075,010201,06075010201,Census Tract 102.01; San Francisco County; California,158,77,235
2024,06,075,010202,06075010202,Census Tract 102.02; San Francisco County; California,61,49,110
2024,06,075,010300,06075010300,Census Tract 103; San Francisco County; California,51,169,220
2024,06,075,010401,06075010401,Census Tract 104.01; San Francisco County; California,203,335,538
2024,06,075,010402,06075010402,Census Tract 104.02; San Francisco County; California,95,42,137
2024,06,075,010500,06075010500,Census Tract 105; San Francisco County; California,349,70,419
2024,06,075,010600,06075010600,Census Tract 106; San Francisco County; California,134,75,209
2024,06,075,010701,06075010701,Census Tract 107.01; San Francisco County; California,53,31,84
2024,06,075,010702,06075010702,Census Tract 107.02; San Francisco County; California,99,32,131
2024,06,075,010800,06075010800,Census Tract 108; San Francisco County; California,35,36,71
2024,06,075,010901,06075010901,Census Tract 109.01; San Francisco County; California,28,127,155
2024,06,075,010902,06075010902,Census Tract 109.02; San Francisco County; California,108,89,197
2024,06,075,011001,06075011001,Census Tract 110.01; San Francisco County; California,31,23,54
2024,06,075,011002,06075011002,Census Tract 110.02; San Francisco County; California,121,36,157
2024,06,075,011101,06075011101,Census Tract 111.01; San Francisco County; California,21,81,102
2024,06,075,011102,06075011102,Census Tract 111.02; San Francisco County; California,8,65,73
2024,06,075,011200,06075011200,Census Tract 112; San Francisco County; California,19,69,88
2024,06,075,011300,06075011300,Census Tract 113; San Francisco County; California,138,74,212
2024,06,075,011700,06075011700,Census Tract 117; San Francisco County; California,149,44,193
2024,06,075,011800,06075011800,Census Tract 118; San Francisco County; California,39,65,104
2024,06,075,011901,06075011901,Census Tract 119.01; San Francisco County; California,89,54,143
2024,06,075,011902,06075011902,Census Tract 119.02; San Francisco County; California,58,129,187
2024,06,075,012001,06075012001,Census Tract 120.01; San Francisco County; California,107,0,107
2024,06,075,012002,06075012002,Census Tract 120.02; San Francisco County; California,56,102,158
2024,06,075,012100,06075012100,Census Tract 121; San Francisco County; California,29,22,51
2024,06,075,012202,06075012202,Census Tract 122.02; San Francisco County; California,93,91,184
2024,06,075,012203,06075012203,Census Tract 122.03; San Francisco County; California,89,87,176
2024,06,075,012204,06075012204,Census Tract 122.04; San Francisco County; California,68,88,156
2024,06,075,012301,06075012301,Census Tract 123.01; San Francisco County; California,70,118,188
2024,06,075,012302,06075012302,Census Tract 123.02; San Francisco County; California,127,19,146
2024,06,075,012403,06075012403,Census Tract 124.03; San Francisco County; California,230,160,390
2024,06,075,012404,06075012404,Census Tract 124.04; San Francisco County; California,22,33,55
2024,06,075,012405,06075012405,Census Tract 124.05; San Francisco County; California,183,87,270
2024,06,075,012406,06075012406,Census Tract 124.06; San Francisco County; California,0,0,0
2024,06,075,012502,06075012502,Census Tract 125.02; San Francisco County; California,90,215,305
2024,06,075,012503,06075012503,Census Tract 125.03; San Francisco County; California,245,184,429
