scenario_id,participation_rate,distribution_date,meal_type,tract_geoid,tract_name,child_pop_u18,expected_demand
pr_0p2,0.2,2026-02-09,lunch,06075010101,Census Tract 101.01; San Francisco County; California,45,9.0
pr_0p2,0.2,2026-02-09,lunch,06075010102,Census Tract 101.02; San Francisco County; California,303,60.6
pr_0p2,0.2,2026-02-09,lunch,06075010201,Census Tract 102.01; San Francisco County; California,235,47.0
pr_0p2,0.2,2026-02-09,lunch,06075010202,Census Tract 102.02; San Francisco County; California,110,22.0
pr_0p2,0.2,2026-02-09,lunch,06075010300,Census Tract 103; San Francisco County; California,220,44.0
pr_0p2,0.2,2026-02-09,lunch,06075010401,Census Tract 104.01; San Francisco County; California,538,107.6
pr_0p2,0.2,2026-02-09,lunch,06075010402,Census Tract 104.02; San Francisco County; California,137,27.4
pr_0p2,0.2,2026-02-09,lunch,06075010500,Census Tract 105; San Francisco County; California,419,83.8
pr_0p2,0.2,2026-02-09,lunch,06075010600,Census Tract 106; San Francisco County; California,209,41.8
pr_0p2,0.2,2026-02-09,lunch,06075010701,Census Tract 107.01; San Francisco County; California,84,16.8
pr_0p2,0.2,2026-02-09,lunch,06075010702,Census Tract 107.02; San Francisco County; California,131,26.2
pr_0p2,0.2,2026-02-09,lunch,06075010800,Census Tract 108; San Francisco County; California,71,14.2
pr_0p2,0.2,2026-02-09,lunch,06075010901,Census Tract 109.01; San Francisco County; California,155,31.0
pr_0p2,0.2,2026-02-09,lunch,06075010902,Census Tract 109.02; San Francisco County; California,197,39.4
pr_0p2,0.2,2026-02-09,lunch,06075011001,Census Tract 110.01; San Francisco County; California,54,10.8
pr_0p2,0.2,2026-02-09,lunch,06075011002,Census Tract 110.02; San Francisco County; California,157,31.4
pr_0p2,0.2,2026-02-09,lunch,06075011101,Census Tract 111.01; San Francisco County; California,102,20.4
pr_0p2,0.2,2026-02-09,lunch,06075011102,Census Tract 111.02; San Francisco County; California,73,14.6
pr_0p2,0.2,2026-02-09,lunch,06075011200,Census Tract 112; San Francisco County; California,88,17.6
pr_0p2,0.2,2026-02-09,lunch,06075011300,Census Tract 113; San Francisco County; California,212,42.4
pr_0p2,0.2,2026-02-09,lunch,06075011700,Census Tract 117; San Francisco County; California,193,38.6
pr_0p2,0.2,2026-02-09,lunch,06075011800,Census Tract 118; San Francisco County; California,104,20.8
pr_0p2,0.2,2026-02-09,lunch,06075011901,Census Tract 119.01; San Francisco County; California,143,28.6
pr_0p2,0.2,2026-02-09,lunch,06075011902,Census Tract 119.02; San Francisco County; California,187,37.4
pr_0p2,0.2,2026-02-09,lunch,06075012001,Census Tract 120.01; San Francisco County; California,107,21.4
pr_0p2,0.2,2026-02-09,lunch,06075012002,Census Tract 120.02; San Francisco County; California,158,31.6
pr_0p2,0.2,2026-02-09,lunch,06075012100,Census Tract 121; San Francisco County; California,51,10.2
pr_0p2,0.2,2026-02-09,lunch,06075012202,Census Tract 122.02; San Francisco County; California,184,36.8
pr_0p2,0.2,2026-02-09,lunch,06075012203,Census Tract 122.03; San Francisco County; California,176,35.2
pr_0p2,0.2,2026-02-09,lunch,06075012204,Census Tract 122.04; San Francisco County; California,156,31.2
pr_0p2,0.2,2026-02-09,lunch,06075012301,Census Tract 123.01; San Francisco County; California,188,37.6
pr_0p2,0.2,2026-02-09,lunch,06075012302,Census Tract 123.02; San Francisco County; California,146,29.2
pr_0p2,0.2,2026-02-09,lunch,06075012403,Census Tract 124.03; San Francisco County; California,390,78.0
pr_0p2,0.2,2026-02-09,lunch,06075012404,Census Tract 124.04; San Francisco County; California,55,11.0
pr_0p2,0.2,2026-02-09,lunch,06075012405,Census Tract 124.05; San Francisco County; California,270,54.0
pr_0p2,0.2,2026-02-09,lunch,06075012406,Census Tract 124.06; San Francisco County; California,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012502,Census Tract 125.02; San Francisco County; California,305,61.0
pr_0p2,0.2,2026-02-09,lunch,06075012503,Census Tract 125.03; San Francisco County; California,429,85.8
pr_0p2,0.2,2026-02-09,lunch,06075012504,Census Tract 125.04; San Francisco County; California,23,4.6
pr_0p2,0.2,2026-02-09,lunch,06075012601,Census Tract 126.01; San Francisco County; California,221,44.2
pr_0p2,0.2,2026-02-09,lunch,06075012602,Census Tract 126.02; San Francisco County; California,367,73.4
pr_0p2,0.2,2026-02-09,lunch,06075012700,Census Tract 127; San Francisco County; California,728,145.6
pr_0p2,0.2,2026-02-09,lunch,06075012801,Census Tract 128.01; San Francisco County; California,484,96.8
pr_0p2,0.2,2026-02-09,lunch,06075012802,Census Tract 128.02; San Francisco County; California,152,30.4
pr_0p2,0.2,2026-02-09,lunch,06075012901,Census Tract 129.01; San Francisco County; California,361,72.2
pr_0p2,0.2,2026-02-09,lunch,06075012902,Census Tract 129.02; San Francisco County; California,124,24.8
pr_0p2,0.2,2026-02-09,lunch,06075013001,Census Tract 130.01; San Francisco County; California,57,11.4
pr_0p2,0.2,2026-02-09,lunch,06075013002,Census Tract 130.02; San Francisco County; California,624,124.8
pr_0p2,0.2,2026-02-09,lunch,06075013101,Census Tract 131.01; San Francisco County; California,269,53.8
pr_0p2,0.2,2026-02-09,lunch,06075013102,Census Tract 131.02; San Francisco County; California,253,50.6
pr_0p2,0.2,2026-02-09,lunch,06075013200,Census Tract 132; San Francisco County; California,365,73.0
pr_0p2,0.2,2026-02-09,lunch,06075013300,Census Tract 133; San Francisco County; California,705,141.0
pr_0p2,0.2,2026-02-09,lunch,06075013401,Census Tract 134.01; San Francisco County; California,85,17.0
pr_0p2,0.2,2026-02-09,lunch,06075013402,Census Tract 134.02; San Francisco County; California,235,47.0
pr_0p2,0.2,2026-02-09,lunch,06075013500,Census Tract 135; San Francisco County; California,285,57.0
pr_0p2,0.2,2026-02-09,lunch,06075015100,Census Tract 151; San Francisco County; California,121,24.2
pr_0p2,0.2,2026-02-09,lunch,06075015201,Census Tract 152.01; San Francisco County; California,109,21.8
pr_0p2,0.2,2026-02-09,lunch,06075015202,Census Tract 152.02; San Francisco County; California,189,37.8
pr_0p2,0.2,2026-02-09,lunch,06075015300,Census Tract 153; San Francisco County; California,224,44.8
pr_0p2,0.2,2026-02-09,lunch,06075015401,Census Tract 154.01; San Francisco County; California,329,65.8
pr_0p2,0.2,2026-02-09,lunch,06075015402,Census Tract 154.02; San Francisco County; California,474,94.8
pr_0p2,0.2,2026-02-09,lunch,06075015500,Census Tract 155; San Francisco County; California,199,39.8
pr_0p2,0.2,2026-02-09,lunch,06075015600,Census Tract 156; San Francisco County; California,224,44.8
pr_0p2,0.2,2026-02-09,lunch,06075015701,Census Tract 157.01; San Francisco County; California,319,63.8
pr_0p2,0.2,2026-02-09,lunch,06075015702,Census Tract 157.02; San Francisco County; California,346,69.2
pr_0p2,0.2,2026-02-09,lunch,06075015801,Census Tract 158.01; San Francisco County; California,598,119.6
pr_0p2,0.2,2026-02-09,lunch,06075015802,Census Tract 158.02; San Francisco County; California,138,27.6
pr_0p2,0.2,2026-02-09,lunch,06075015900,Census Tract 159; San Francisco County; California,763,152.6
pr_0p2,0.2,2026-02-09,lunch,06075016000,Census Tract 160; San Francisco County; California,106,21.2
pr_0p2,0.2,2026-02-09,lunch,06075016101,Census Tract 161.01; San Francisco County; California,154,30.8
pr_0p2,0.2,2026-02-09,lunch,06075016102,Census Tract 161.02; San Francisco County; California,511,102.2
