scenario_id,participation_rate,distribution_date,meal_type,tract_geoid,tract_name,child_pop_u18,expected_demand
pr_0p2,0.2,2026-02-09,lunch,06075010101,Census Tract 10101,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010102,Census Tract 10102,313,62.6
pr_0p2,0.2,2026-02-09,lunch,06075010201,Census Tract 10201,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010202,Census Tract 10202,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010300,Census Tract 10300,73,14.6
pr_0p2,0.2,2026-02-09,lunch,06075010401,Census Tract 10401,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010402,Census Tract 10402,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010500,Census Tract 10500,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010600,Census Tract 10600,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010701,Census Tract 10701,68,13.6
pr_0p2,0.2,2026-02-09,lunch,06075010702,Census Tract 10702,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010800,Census Tract 10800,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010901,Census Tract 10901,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075010902,Census Tract 10902,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011001,Census Tract 11001,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011002,Census Tract 11002,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011101,Census Tract 11101,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011102,Census Tract 11102,104,20.8
pr_0p2,0.2,2026-02-09,lunch,06075011200,Census Tract 11200,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011300,Census Tract 11300,485,97.0
pr_0p2,0.2,2026-02-09,lunch,06075011700,Census Tract 11700,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011800,Census Tract 11800,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011901,Census Tract 11901,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075011902,Census Tract 11902,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012001,Census Tract 12001,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012002,Census Tract 12002,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012100,Census Tract 12100,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012202,Census Tract 12202,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012203,Census Tract 12203,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012204,Census Tract 12204,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012301,Census Tract 12301,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012302,Census Tract 12302,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012403,Census Tract 12403,0,0.0
pr_0p2,0.2,2026-02-09,lunch,06075012404,Census Tract 12404,0,0.0
