tract_geoid,site_id,distance_km,distance_miles,c_ij
06075010101,001_826-valencia-main,5.531487,3.437107,3.437107
06075010101,002_826-valencia-mission-bay,4.446338,2.762826,2.762826
06075010101,003_826-valencia-tenderloin,2.982965,1.853529,1.853529
06075010101,004_bayview-ymca,8.706619,5.410042,5.410042
06075010101,005_bernal-heights-library,7.767198,4.826313,4.826313
06075010101,006_betty-an-ong-recreation-center,3.626646,2.253493,2.253493
06075010101,007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,9.349758,5.80967,5.80967
06075010101,008_buena-vista-child-care,6.315945,3.924546,3.924546
06075010101,009_community-youth-center-chinatown,1.741187,1.081923,1.081923
06075010101,010_community-youth-center-richmond,5.917646,3.677055,3.677055
06075010101,011_community-youth-center-tenderloin,2.518323,1.564813,1.564813
06075010101,012_faces-sf,8.63511,5.365608,5.365608
06075010101,013_gilman-playground,10.353006,6.433059,6.433059
06075010101,014_hamilton-recreation-center,3.43624,2.13518,2.13518
06075010101,015_ingleside-library,10.235716,6.360179,6.360179
06075010101,016_joseph-lee-recreation-center,8.375261,5.204146,5.204146
06075010101,017_main-library,3.372769,2.095741,2.095741
06075010101,018_minnie-and-lovie-ward-recreation-center,11.128339,6.914829,6.914829
06075010101,019_mission-graduates,4.932898,3.065161,3.065161
06075010101,020_mission-language-and-vocational-school-excelsior,10.062895,6.252793,6.252793
06075010101,021_mission-language-and-vocational-school-main,5.376039,3.340516,3.340516
06075010101,022_palega-recreation-center,8.887969,5.522728,5.522728
06075010101,023_pomeroy-recreation-rehabilitation-center,11.467649,7.125667,7.125667
06075010101,024_potrero-library,5.538759,3.441625,3.441625
06075010101,025_portola-library,9.096305,5.652182,5.652182
06075010101,026_r-o-c-k,10.768064,6.690965,6.690965
06075010101,027_samoan-community-development-center,10.638194,6.610267,6.610267
06075010101,028_st-mary-s-recreation-center,8.373954,5.203334,5.203334
06075010101,029_sunset-recreation-center,8.759988,5.443204,5.443204
06075010101,030_tel-hi-neighborhood-center-site-1,0.56433,0.350658,0.350658
06075010101,031_tel-hi-neighborhood-center-site-2,0.625644,0.388757,0.388757
06075010101,032_tel-hi-neighborhood-center-site-3,0.654641,0.406775,0.406775
06075010101,033_the-marsh,5.958321,3.702329,3.702329
06075010101,034_the-richmond-neighborhood-center,7.882942,4.898233,4.898233
06075010101,035_up-on-top,2.718127,1.688966,1.688966
06075010101,036_vision-academy-bayview,9.141292,5.680135,5.680135
06075010101,037_visitacion-valley-library,10.699802,6.648549,6.648549
06075010101,038_youth-1st,11.365739,7.062343,7.062343
06075010101,039_youth-art-exchange-site-1,4.832714,3.002909,3.002909
06075010101,040_youth-art-exchange-site-2,10.277727,6.386284,6.386284
06075010102,001_826-valencia-main,5.047264,3.136224,3.136224
06075010102,002_826-valencia-mission-bay,4.164907,2.587953,2.587953
06075010102,003_826-valencia-tenderloin,2.52687,1.570124,1.570124
06075010102,004_bayview-ymca,8.339201,5.181739,5.181739
06075010102,005_bernal-heights-library,7.307638,4.540756,4.540756
06075010102,006_betty-an-ong-recreation-center,3.313095,2.058662,2.058662
06075010102,007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,8.856847,5.503389,5.503389
06075010102,008_buena-vista-child-care,5.87587,3.651096,3.651096
06075010102,009_community-youth-center-chinatown,1.407731,0.874723,0.874723
06075010102,010_community-youth-center-richmond,5.458549,3.391785,3.391785
06075010102,011_community-youth-center-tenderloin,2.014411,1.251697,1.251697
06075010102,012_faces-sf,8.289156,5.150643,5.150643
06075010102,013_gilman-playground,9.979608,6.201041,6.201041
06075010102,014_hamilton-recreation-center,2.910033,1.808211,1.808211
06075010102,015_ingleside-library,9.714192,6.036119,6.036119
06075010102,016_joseph-lee-recreation-center,8.011238,4.977952,4.977952
06075010102,017_main-library,2.896389,1.799733,1.799733
06075010102,018_minnie-and-lovie-ward-recreation-center,10.607905,6.591447,6.591447
06075010102,019_mission-graduates,4.447695,2.76367,2.76367
06075010102,020_mission-language-and-vocational-school-excelsior,9.563402,5.942422,5.942422
06075010102,021_mission-language-and-vocational-school-main,4.93526,3.066628,3.066628
06075010102,022_palega-recreation-center,8.449468,5.250256,5.250256
06075010102,023_pomeroy-recreation-rehabilitation-center,10.946872,6.802071,6.802071
06075010102,024_potrero-library,5.175181,3.215708,3.215708
06075010102,025_portola-library,8.667386,5.385664,5.385664
06075010102,026_r-o-c-k,10.312165,6.407682,6.407682
06075010102,027_samoan-community-development-center,10.170692,6.319775,6.319775
06075010102,028_st-mary-s-recreation-center,7.899379,4.908446,4.908446
06075010102,029_sunset-recreation-center,8.25592,5.129991,5.129991
06075010102,030_tel-hi-neighborhood-center-site-1,0.167473,0.104063,0.104063
06075010102,031_tel-hi-neighborhood-center-site-2,0.216705,0.134654,0.134654
06075010102,032_tel-hi-neighborhood-center-site-3,0.235102,0.146085,0.146085
06075010102,033_the-marsh,5.477839,3.403771,3.403771
06075010102,034_the-richmond-neighborhood-center,7.427229,4.615066,4.615066
06075010102,035_up-on-top,2.242233,1.393259,1.393259
06075010102,036_vision-academy-bayview,8.790124,5.46193,5.46193
06075010102,037_visitacion-valley-library,10.265346,6.37859,6.37859
06075010102,038_youth-1st,10.839151,6.735136,6.735136
06075010102,039_youth-art-exchange-site-1,4.350336,2.703174,2.703174
06075010102,040_youth-art-exchange-site-2,9.765312,6.067884,6.067884
06075010201,001_826-valencia-main,4.627309,2.875277,2.875277
06075010201,002_826-valencia-mission-bay,4.204346,2.61246,2.61246
06075010201,003_826-valencia-tenderloin,2.254691,1.401,1.401
06075010201,004_bayview-ymca,8.170612,5.076983,5.076983
06075010201,005_bernal-heights-library,6.940281,4.312491,4.312491
06075010201,006_betty-an-ong-recreation-center,2.697706,1.676277,1.676277
06075010201,007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,8.388294,5.212244,5.212244
06075010201,008_buena-vista-child-care,5.568335,3.460003,3.460003
06075010201,009_community-youth-center-chinatown,1.543764,0.959251,0.959251
06075010201,010_community-youth-center-richmond,4.719089,2.932306,2.932306
06075010201,011_community-youth-center-tenderloin,1.601891,0.995369,0.995369
06075010201,012_faces-sf,8.162013,5.07164,5.07164
06075010201,013_gilman-playground,9.79142,6.084106,6.084106
06075010201,014_hamilton-recreation-center,2.232949,1.38749,1.38749
06075010201,015_ingleside-library,9.13173,5.674194,5.674194
06075010201,016_joseph-lee-recreation-center,7.85126,4.878547,4.878547
06075010201,017_main-library,2.544604,1.581143,1.581143
06075010201,018_minnie-and-lovie-ward-recreation-center,10.030148,6.232445,6.232445
06075010201,019_mission-graduates,4.031847,2.505273,2.505273
06075010201,020_mission-language-and-vocational-school-excelsior,9.071549,5.6368,5.6368
06075010201,021_mission-language-and-vocational-school-main,4.637035,2.88132,2.88132
06075010201,022_palega-recreation-center,8.128391,5.050748,5.050748
06075010201,023_pomeroy-recreation-rehabilitation-center,10.239367,6.362448,6.362448
06075010201,024_potrero-library,5.043962,3.134172,3.134172
06075010201,025_portola-library,8.367569,5.199366,5.199366
06075010201,026_r-o-c-k,9.942133,6.177755,6.177755
06075010201,027_samoan-community-development-center,9.77131,6.071611,6.071611
06075010201,028_st-mary-s-recreation-center,7.488615,4.653209,4.653209
06075010201,029_sunset-recreation-center,7.524237,4.675344,4.675344
06075010201,030_tel-hi-neighborhood-center-site-1,0.823044,0.511416,0.511416
06075010201,031_tel-hi-neighborhood-center-site-2,0.61286,0.380813,0.380813
06075010201,032_tel-hi-neighborhood-center-site-3,0.797094,0.495291,0.495291
06075010201,033_the-marsh,5.065186,3.147361,3.147361
06075010201,034_the-richmond-neighborhood-center,6.688108,4.155797,4.155797
06075010201,035_up-on-top,1.924955,1.196112,1.196112
06075010201,036_vision-academy-bayview,8.650312,5.375055,5.375055
06075010201,037_visitacion-valley-library,9.946772,6.180638,6.180638
06075010201,038_youth-1st,10.221264,6.351199,6.351199
06075010201,039_youth-art-exchange-site-1,3.944895,2.451244,2.451244
06075010201,040_youth-art-exchange-site-2,9.225453,5.732431,5.732431
06075010202,001_826-valencia-main,5.307384,3.297856,3.297856
06075010202,002_826-valencia-mission-bay,4.822414,2.996509,2.996509
06075010202,003_826-valencia-tenderloin,2.940457,1.827116,1.827116
06075010202,004_bayview-ymca,8.851604,5.500132,5.500132
06075010202,005_bernal-heights-library,7.626013,4.738585,4.738585
06075010202,006_betty-an-ong-recreation-center,2.572417,1.598426,1.598426
06075010202,007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,9.050696,5.623842,5.623842
06075010202,008_buena-vista-child-care,6.258367,3.888769,3.888769
06075010202,009_community-youth-center-chinatown,2.090323,1.298866,1.298866
06075010202,010_community-youth-center-richmond,4.950213,3.075919,3.075919
06075010202,011_community-youth-center-tenderloin,2.291299,1.423747,1.423747
06075010202,012_faces-sf,8.835777,5.490298,5.490298
06075010202,013_gilman-playground,10.475685,6.509289,6.509289
06075010202,014_hamilton-recreation-center,2.78443,1.730164,1.730164
06075010202,015_ingleside-library,9.735325,6.049251,6.049251
06075010202,016_joseph-lee-recreation-center,8.530742,5.300758,5.300758
06075010202,017_main-library,3.234627,2.009904,2.009904
06075010202,018_minnie-and-lovie-ward-recreation-center,10.635906,6.608845,6.608845
06075010202,019_mission-graduates,4.713789,2.929013,2.929013
06075010202,020_mission-language-and-vocational-school-excelsior,9.724773,6.042694,6.042694
06075010202,021_mission-language-and-vocational-school-main,5.327071,3.310089,3.310089
06075010202,022_palega-recreation-center,8.817602,5.479004,5.479004
06075010202,023_pomeroy-recreation-rehabilitation-center,10.681368,6.637094,6.637094
06075010202,024_potrero-library,5.715348,3.551353,3.551353
06075010202,025_portola-library,9.057509,5.628075,5.628075
06075010202,026_r-o-c-k,10.626276,6.602862,6.602862
06075010202,027_samoan-community-development-center,10.45069,6.493757,6.493757
06075010202,028_st-mary-s-recreation-center,8.167109,5.074806,5.074806
06075010202,029_sunset-recreation-center,7.89326,4.904644,4.904644
06075010202,030_tel-hi-neighborhood-center-site-1,0.982227,0.610328,0.610328
06075010202,031_tel-hi-neighborhood-center-site-2,0.603771,0.375166,0.375166
06075010202,032_tel-hi-neighborhood-center-site-3,1.024511,0.636602,0.636602
06075010202,033_the-marsh,5.745898,3.570336,3.570336
06075010202,034_the-richmond-neighborhood-center,6.903564,4.289676,4.289676
06075010202,035_up-on-top,2.613388,1.623884,1.623884
06075010202,036_vision-academy-bayview,9.326763,5.795382,5.795382
06075010202,037_visitacion-valley-library,10.635845,6.608808,6.608808
06075010202,038_youth-1st,10.793933,6.707039,6.707039
06075010202,039_youth-art-exchange-site-1,4.628641,2.876104,2.876104
06075010202,040_youth-art-exchange-site-2,9.855935,6.124194,6.124194
06075010300,001_826-valencia-main,4.690067,2.914272,2.914272
06075010300,002_826-valencia-mission-bay,3.948816,2.453681,2.453681
06075010300,003_826-valencia-tenderloin,2.193687,1.363094,1.363094
06075010300,004_bayview-ymca,8.051932,5.003239,5.003239
06075010300,005_bernal-heights-library,6.96326,4.326769,4.326769
06075010300,006_betty-an-ong-recreation-center,3.176561,1.973824,1.973824
06075010300,007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,8.493751,5.277772,5.277772
06075010300,008_buena-vista-child-care,5.544578,3.445241,3.445241
06075010300,009_community-youth-center-chinatown,1.205136,0.748836,0.748836
06075010300,010_community-youth-center-richmond,5.17508,3.215646,3.215646
06075010300,011_community-youth-center-tenderloin,1.649666,1.025055,1.025055
06075010300,012_faces-sf,8.01609,4.980967,4.980967
06075010300,013_gilman-playground,9.687017,6.019233,6.019233
06075010300,014_hamilton-recreation-center,2.549711,1.584317,1.584317
06075010300,015_ingleside-library,9.34038,5.803843,5.803843
06075010300,016_joseph-lee-recreation-center,7.72657,4.801068,4.801068
06075010300,017_main-library,2.547231,1.582776,1.582776
06075010300,018_minnie-and-lovie-ward-recreation-center,10.234239,6.359262,6.359262
06075010300,019_mission-graduates,4.090425,2.541672,2.541672
06075010300,020_mission-language-and-vocational-school-excelsior,9.197105,5.714816,5.714816
06075010300,021_mission-language-and-vocational-school-main,4.604864,2.86133,2.86133
06075010300,022_palega-recreation-center,8.117035,5.043692,5.043692
