School Code,School Name,School Type,Low Grade,High Grade,"Total 
Enrollment",frpm,Foster,Tribal Foster Youth,Homeless,"Migrant
Program",Direct Certification,unduplicated_frpm,"English 
Learner 
(EL)","CALPADS Unduplicated 
Pupil Count
(UPC)","CALPADS Fall 1 
Certification Status 
(Y/N)"
119958,Academy (The)- SF @McAteer,Alternative Schools of Choice,9,12,123,69,1,0,9,4,43,69,18,72,Y
6040695,Alamo Elementary,Elementary Schools (Public),K,5,390,136,1,0,3,0,91,159,73,187,Y
6040703,Alvarado Elementary,Elementary Schools (Public),K,5,538,130,0,0,7,0,105,159,120,207,Y
6062020,Aptos Middle,Intermediate/Middle Schools (Public),6,8,911,506,2,0,45,1,313,535,125,557,Y
6040737,Argonne Elementary,Elementary Schools (Public),K,5,391,106,0,0,5,0,111,148,85,178,Y
3830387,"Asawa (Ruth) SF Sch of the Arts, A Public School",Alternative Schools of Choice,9,12,680,130,1,0,8,0,88,151,10,155,Y
3830288,Balboa High,High Schools (Public),9,12,"1,238",738,8,0,57,4,533,789,167,830,Y
132241,Brown Jr. (Willie L) Middle,Intermediate/Middle Schools (Public),6,8,363,163,3,0,16,0,137,194,51,207,Y
6040778,Bryant Elementary,Elementary Schools (Public),K,5,237,163,0,0,32,1,123,195,155,215,Y
6062046,Buena Vista/ Horace Mann K-8,Elementary Schools (Public),K,8,586,307,0,0,76,3,260,385,361,480,Y
3830254,Burton (Phillip and Sala) Academic High,High Schools (Public),9,12,"1,047",642,5,0,78,5,489,709,211,774,Y
6040752,Carmichael (Bessie)/FEC,Elementary Schools (Public),K,8,555,322,8,0,88,1,337,425,166,469,Y
6093496,Carver (George Washington) Elementary,Elementary Schools (Public),K,5,93,60,2,0,4,0,71,78,13,82,Y
6041149,Chavez (Cesar) Elementary,Elementary Schools (Public),K,5,397,210,1,0,82,3,194,294,294,367,Y
6113252,Chin (John Yehall) Elementary,Elementary Schools (Public),K,5,233,158,0,0,8,0,144,176,67,189,Y
120386,Chinese Immersion School at DeAvila,Elementary Schools (Public),K,5,407,131,0,0,3,0,94,148,95,188,Y
107300,City Arts & Leadership Academy,High Schools (Public),9,12,397,265,0,0,0,0,188,273,110,307,Y
6040828,Clarendon Alternative Elementary,Elementary Schools (Public),K,5,533,114,0,0,3,2,68,124,71,170,Y
6040836,Cleveland Elementary,Elementary Schools (Public),K,5,300,162,2,0,14,3,156,209,221,280,Y
6040968,Cobb (William L.) Elementary,Elementary Schools (Public),K,5,134,66,1,0,10,0,76,94,14,97,Y
6112601,Creative Arts Charter,Elementary Schools (Public),K,8,440,98,0,0,1,0,84,127,21,136,Y
6059869,Denman (James) Middle,Intermediate/Middle Schools (Public),6,8,807,475,5,0,74,1,347,523,212,577,Y
3830064,Downtown High,Continuation High Schools,9,12,174,107,2,0,29,0,96,124,46,134,Y
6104673,Drew (Charles) College Preparatory Academy,Elementary Schools (Public),K,5,200,98,0,0,4,0,126,147,52,167,Y
6040950,El Dorado Elementary,Elementary Schools (Public),P,5,128,68,3,0,4,0,79,92,33,103,Y
6062038,Everett Middle,Intermediate/Middle Schools (Public),6,8,401,202,6,0,73,5,181,273,229,331,Y
111427,Feinstein (Dianne) Elementary,Elementary Schools (Public),K,5,356,77,1,0,9,0,78,105,65,135,Y
